country,food_group,food_supply
Azerbaijan,"Roots, tubers, plantains and their products",148.0
Azerbaijan,Spices and condiments,1.6
Azerbaijan,Sweets and sugars,295.4
Azerbaijan,Vegetables and their products,106.8
Bahamas,Beverages,221.4
Bahamas,Cereals and their products,461.8
Bahamas,Eggs and their products,35.2
Bahamas,Fats and oils,337.4
Bahamas,"Fish, shellfish and their products",50.8
Bahamas,Foods for particular nutritional uses,8.4
Bahamas,Fruits and their products,164.4
Bahamas,Meat and meat products,496.0
Bahamas,Milk and milk products,182.0
Bahamas,Miscellaneous,98.6
Bahamas,"Pulses, seeds and nuts and their products",51.2
Bahamas,"Roots, tubers, plantains and their products",37.4
Bahamas,Spices and condiments,15.6
Bahamas,Sweets and sugars,402.8
Bahamas,Vegetables and their products,87.0
Bahrain,Beverages,87.0
Bahrain,Cereals and their products,1072.6
Bahrain,Eggs and their products,38.0
Bahrain,Fats and oils,624.8
Bahrain,"Fish, shellfish and their products",33.4
Bahrain,Foods for particular nutritional uses,5.6
Bahrain,Fruits and their products,143.2
Bahrain,Meat and meat products,389.4
Bahrain,Milk and milk products,218.0
Bahrain,Miscellaneous,0.0
Bahrain,"Pulses, seeds and nuts and their products",146.6
Bahrain,"Roots, tubers, plantains and their products",76.0
Bahrain,Spices and condiments,34.2
Bahrain,Sweets and sugars,523.4
Bahrain,Vegetables and their products,88.8
Bangladesh,Beverages,2.0
Bangladesh,Cereals and their products,1810.6
Bangladesh,Eggs and their products,13.4
Bangladesh,Fats and oils,187.2
Bangladesh,"Fish, shellfish and their products",54.8
Bangladesh,Foods for particular nutritional uses,0.0
Bangladesh,Fruits and their products,41.4
Bangladesh,Meat and meat products,20.4
Bangladesh,Milk and milk products,98.4
Bangladesh,Miscellaneous,0.2
Bangladesh,"Pulses, seeds and nuts and their products",93.4
Bangladesh,"Roots, tubers, plantains and their products",95.4
Bangladesh,Spices and condiments,41.2
Bangladesh,Sweets and sugars,78.6
Bangladesh,Vegetables and their products,43.4
Barbados,Beverages,126.8
Barbados,Cereals and their products,864.2
Barbados,Eggs and their products,36.0
Barbados,Fats and oils,373.4
Barbados,"Fish, shellfish and their products",94.0
Barbados,Foods for particular nutritional uses,8.0
Barbados,Fruits and their products,93.0
Barbados,Meat and meat products,331.6
Barbados,Milk and milk products,177.4
Barbados,Miscellaneous,132.8
Barbados,"Pulses, seeds and nuts and their products",142.2
Barbados,"Roots, tubers, plantains and their products",122.6
Barbados,Spices and condiments,16.6
Barbados,Sweets and sugars,567.8
Barbados,Vegetables and their products,62.4
Belarus,Beverages,239.8
Belarus,Cereals and their products,626.4
Belarus,Eggs and their products,50.0
Belarus,Fats and oils,541.2
Belarus,"Fish, shellfish and their products",21.0
Belarus,Foods for particular nutritional uses,0.0
Belarus,Fruits and their products,94.8
Belarus,Meat and meat products,463.2
Belarus,Milk and milk products,330.6
Belarus,Miscellaneous,22.4
Belarus,"Pulses, seeds and nuts and their products",50.0
Belarus,"Roots, tubers, plantains and their products",294.2
